,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 141,10/28/2022 14:38:10,10/28/2022 14:46:00,IP Address,100,469,TRUE,10/28/2022 14:46:00,R_u31JBZPou9Hm1pf,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,3- Often,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,Moderate stress,Mild stress,Moderate stress,None,None,E- describes me very well,E- describes me very well,B,C,C,C,A- does not describe me well,D,E- describes me very well,D,D,D,C,A- does not describe me well,B,D,A- does not describe me well,A- does not describe me well,D,D,D,D,B,B,B,E- describes me very well,B,D,No,"Yes, 1x per month or less","Yes, 3x per month or less",No,No,,,,Current second year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,Yes,No,57,72,17,24,19,10
Participant 142,10/28/2022 16:38:56,10/28/2022 16:54:53,IP Address,100,957,TRUE,10/28/2022 16:54:53,R_2ONjmBf4Q8MseA2,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,Moderate stress,Moderate stress,Moderate stress,Mild stress,Severe stress,None,None,B,D,A- does not describe me well,A- does not describe me well,D,B,A- does not describe me well,D,E- describes me very well,D,D,B,B,B,B,E- describes me very well,D,A- does not describe me well,C,D,E- describes me very well,E- describes me very well,D,B,D,E- describes me very well,A- does not describe me well,E- describes me very well,No,"Yes, 1x per month or less","Yes, 3+ times per week","Yes, 3x per month or less","Yes, 3+ times per week",,,Taking my dog to the dog park,Current first year,25-29,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,51,84,18,25,21,13
Participant 143,10/28/2022 23:27:07,10/28/2022 23:32:00,IP Address,100,292,TRUE,10/28/2022 23:32:00,R_10IUOB8Ki8bQn4K,anonymous,EN,0.699999988,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Severe stress,Moderate stress,None,Moderate stress,Moderate stress,None,Mild stress,E- describes me very well,D,A- does not describe me well,C,A- does not describe me well,E- describes me very well,C,B,D,A- does not describe me well,E- describes me very well,B,B,B,C,B,B,A- does not describe me well,C,D,D,D,C,D,D,C,A- does not describe me well,D,"Yes, 3+ times per week","Yes, 1x per month or less","Yes, 3+ times per week",No,No,,,,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Male,Prefer not to say,Single (never married),No,Yes,No,No,55,68,16,21,20,13
Participant 144,10/29/2022 7:14:06,10/29/2022 7:19:48,IP Address,100,342,TRUE,10/29/2022 7:19:48,R_OAJ6n5lJ4p2StWN,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,3- Often,1- Almost never,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,3- Often,1- Almost never,4- Usually,None,None,None,None,Moderate stress,None,None,B,C,A- does not describe me well,A- does not describe me well,E- describes me very well,C,C,D,D,C,E- describes me very well,B,B,B,C,C,D,A- does not describe me well,D,D,E- describes me very well,D,D,A- does not describe me well,B,E- describes me very well,A- does not describe me well,C,No,No,"Yes, 1-2 times per week",No,No,,,,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, less than 10 hours a week",60,72,19,22,20,11
Participant 145,10/29/2022 12:17:03,10/29/2022 12:24:56,IP Address,100,473,TRUE,10/29/2022 12:24:56,R_2fEbUWGGPuaT8NZ,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,4- Usually,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,1- Almost never,4- Usually,Mild stress,None,Mild stress,None,Severe stress,None,None,E- describes me very well,D,D,B,E- describes me very well,C,B,D,D,E- describes me very well,D,A- does not describe me well,C,D,B,D,D,B,C,B,D,B,C,B,C,D,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less",photography,,,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",64,70,21,15,18,14
Participant 146,10/29/2022 13:04:22,10/29/2022 13:09:43,IP Address,100,321,TRUE,10/29/2022 13:09:44,R_3hshZSbRZ0QJukG,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,4- Usually,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,None,Moderate stress,Mild stress,None,Moderate stress,Moderate stress,None,D,D,B,B,E- describes me very well,E- describes me very well,A- does not describe me well,C,D,E- describes me very well,B,A- does not describe me well,A- does not describe me well,B,C,D,E- describes me very well,B,A- does not describe me well,D,C,E- describes me very well,D,E- describes me very well,B,D,E- describes me very well,B,"Yes, 3x per month or less","Yes, 1x per month or less","Yes, 3x per month or less",No,"Yes, 3+ times per week",,,Dissociating on my couch scrolling thru reels for 4 hours straight until I need to get up to use the bathroom,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",62,86,22,22,12,28
Participant 147,10/30/2022 11:25:38,10/30/2022 11:34:52,IP Address,100,553,TRUE,10/30/2022 11:34:52,R_XzcrzR3CTQTm5Lb,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,4- Usually,1- Almost never,4- Usually,Mild stress,Moderate stress,None,Moderate stress,Severe stress,Mild stress,None,E- describes me very well,E- describes me very well,B,A- does not describe me well,D,D,B,C,D,E- describes me very well,D,B,B,B,B,B,E- describes me very well,A- does not describe me well,C,E- describes me very well,D,E- describes me very well,B,B,E- describes me very well,C,A- does not describe me well,E- describes me very well,No,"Yes, 1x per month or less","Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3x per month or less",Listening to music,,,Current second year,25-29,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,66,82,19,26,19,17
Participant 148,10/31/2022 7:50:38,10/31/2022 7:54:55,IP Address,100,256,TRUE,10/31/2022 7:54:55,R_3RkekZUfGqb4TN8,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,4- Usually,3- Often,2- Sometimes,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,Moderate stress,None,None,Mild stress,Severe stress,None,None,D,D,C,B,D,B,C,C,C,B,D,B,C,B,B,C,A- does not describe me well,B,D,D,B,E- describes me very well,E- describes me very well,B,B,B,A- does not describe me well,B,"Yes, 1-2 times per week",No,"Yes, 3+ times per week","Yes, 3x per month or less",No,,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,60,58,18,21,13,6
Participant 149,10/31/2022 8:50:00,10/31/2022 8:55:35,IP Address,100,335,TRUE,10/31/2022 8:55:36,R_1hElVfFO4D2tblK,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,Mild stress,Mild stress,None,Mild stress,Moderate stress,None,None,D,D,B,A- does not describe me well,D,C,B,D,E- describes me very well,D,D,B,C,A- does not describe me well,D,B,B,B,D,D,C,D,C,B,C,E- describes me very well,B,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,"Watching TV, doing puzzles, needle felting",Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",39,71,21,24,17,11
Participant 150,10/31/2022 9:20:30,10/31/2022 9:27:44,IP Address,100,433,TRUE,10/31/2022 9:27:44,R_2CDspDiHylhMbJN,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,Mild stress,Mild stress,Severe stress,Moderate stress,Moderate stress,None,None,B,C,A- does not describe me well,D,C,D,B,E- describes me very well,D,D,D,C,B,C,B,D,D,A- does not describe me well,D,D,D,D,D,B,E- describes me very well,D,B,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,"Plant care, knitting",Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,No,42,74,15,18,24,15
Participant 151,10/31/2022 9:44:14,10/31/2022 9:48:46,IP Address,100,271,TRUE,10/31/2022 9:48:46,R_2X6RY4BevjX60TP,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,4- Usually,Moderate stress,Moderate stress,Mild stress,Mild stress,Severe stress,Mild stress,None,D,B,A- does not describe me well,A- does not describe me well,C,C,B,D,D,D,D,D,B,B,C,E- describes me very well,D,B,D,D,D,D,D,B,C,E- describes me very well,B,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,60,73,16,20,19,14
Participant 152,10/31/2022 10:47:25,10/31/2022 11:00:02,IP Address,100,756,TRUE,10/31/2022 11:00:02,R_1Cm7fdrCKcTLPWW,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,3- Often,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,1- Almost never,3- Often,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,Mild stress,Moderate stress,Mild stress,Mild stress,Moderate stress,Mild stress,Mild stress,D,E- describes me very well,B,B,C,B,D,D,E- describes me very well,A- does not describe me well,E- describes me very well,B,D,B,D,B,A- does not describe me well,B,D,D,D,D,C,B,C,C,B,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less","Massage, sightseeing, dinner and drinks with the besties ",,,Current second year,25-29,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",Asian,No,Female,Asexual,Single (never married),No,No,Yes,No,41,61,16,23,19,5
Participant 153,10/31/2022 11:18:20,10/31/2022 11:29:54,IP Address,100,694,TRUE,10/31/2022 11:29:55,R_1H75MbV5C8ahkWi,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Mild stress,None,None,Mild stress,None,None,None,C,E- describes me very well,A- does not describe me well,B,B,B,D,E- describes me very well,D,C,E- describes me very well,D,B,C,A- does not describe me well,D,D,A- does not describe me well,B,C,E- describes me very well,C,B,C,D,C,C,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 3+ times per week",,,Yoga,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,44,73,9,20,26,16
Participant 154,10/31/2022 14:49:08,10/31/2022 14:56:13,IP Address,100,424,TRUE,10/31/2022 14:56:13,R_24HjPXBu0q5oABI,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,Severe stress,Mild stress,Severe stress,Mild stress,Mild Stress,Mild stress,None,D,D,B,D,C,B,B,D,E- describes me very well,D,D,A- does not describe me well,B,A- does not describe me well,D,A- does not describe me well,B,C,D,D,C,D,D,B,B,C,B,B,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"Baking, embroidery, video games ",,Current first year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Male,"Gay, lesbian, or homosexual",In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",44,62,21,20,14,11
Participant 155,10/31/2022 18:12:44,10/31/2022 18:22:02,IP Address,100,558,TRUE,10/31/2022 18:22:02,R_2Qm1zgCYF7hy4fW,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,2- Sometimes,4- Usually,Severe stress,Moderate stress,Moderate stress,Mild stress,Severe stress,Moderate stress,Moderate stress,C,E- describes me very well,B,A- does not describe me well,C,B,B,D,E- describes me very well,D,D,B,B,A- does not describe me well,B,C,B,A- does not describe me well,C,D,D,C,D,A- does not describe me well,D,C,B,D,No,No,"Yes, 1-2 times per week","Yes, 3x per month or less",No,,,,Current first year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Asian,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",57,74,17,25,21,11
Participant 156,11/1/2022 8:48:25,11/1/2022 8:53:39,IP Address,100,314,TRUE,11/1/2022 8:53:40,R_33wO6iye5yBGHJt,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,4- Usually,4- Usually,2- Sometimes,3- Often,Moderate stress,Moderate stress,Mild stress,Mild stress,Moderate stress,None,Mild stress,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,B,B,E- describes me very well,E- describes me very well,C,E- describes me very well,A- does not describe me well,B,A- does not describe me well,B,D,B,A- does not describe me well,D,D,D,E- describes me very well,D,B,E- describes me very well,E- describes me very well,B,D,"Yes, 1-2 times per week","Yes, 1+ times per week","Yes, 3+ times per week",No,No,,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,59,86,22,27,25,10
Participant 157,11/1/2022 9:16:28,11/1/2022 9:24:02,IP Address,100,453,TRUE,11/1/2022 9:24:02,R_3prrYnwSY2VbW7l,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,Mild stress,Mild stress,None,Mild stress,Moderate stress,None,None,D,C,A- does not describe me well,D,E- describes me very well,B,D,D,C,A- does not describe me well,D,A- does not describe me well,D,C,B,E- describes me very well,A- does not describe me well,D,D,B,D,B,D,B,D,E- describes me very well,A- does not describe me well,A- does not describe me well,No,No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,Hair masks/a long shower. Calling my mom. Taking a nap. ,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",57,56,19,10,19,4
Participant 158,11/1/2022 9:36:05,11/1/2022 9:46:57,IP Address,100,651,TRUE,11/1/2022 9:46:57,R_2V8tQ8p1IGRzGOV,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,3- Often,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,Moderate stress,Mild stress,Moderate stress,Moderate stress,Moderate stress,Moderate stress,Mild stress,D,D,B,A- does not describe me well,B,B,B,D,D,D,D,D,C,A- does not describe me well,B,A- does not describe me well,B,A- does not describe me well,D,D,E- describes me very well,C,B,A- does not describe me well,E- describes me very well,C,A- does not describe me well,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,"Running, gym, walking dog, etc.",Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,"Gay, lesbian, or homosexual",Single (never married),No,No,No,No,61,66,15,23,21,8
Participant 159,11/1/2022 9:42:43,11/1/2022 9:57:53,IP Address,100,909,TRUE,11/1/2022 9:57:53,R_Xwb1aTAJdA6AGhX,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,2- Sometimes,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,3- Often,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,4- Usually,Mild stress,Moderate stress,None,Moderate stress,Moderate stress,None,Severe stress,C,E- describes me very well,B,B,E- describes me very well,B,B,E- describes me very well,E- describes me very well,D,D,A- does not describe me well,D,B,B,C,D,B,E- describes me very well,D,D,E- describes me very well,B,B,D,D,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,No,,,,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",60,74,19,24,22,9
Participant 160,11/1/2022 9:09:29,11/1/2022 10:16:08,IP Address,100,3998,TRUE,11/1/2022 10:16:08,R_1r7V1vMq6Lm2M0E,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,4- Usually,4- Usually,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,3- Often,2- Sometimes,4- Usually,Moderate stress,Severe stress,Mild stress,Moderate stress,Moderate stress,None,None,B,E- describes me very well,B,C,E- describes me very well,D,B,E- describes me very well,D,D,D,A- does not describe me well,D,A- does not describe me well,C,D,C,A- does not describe me well,D,D,D,D,D,B,D,D,A- does not describe me well,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,Art and music,,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",60,76,19,23,21,11
Participant 161,11/1/2022 13:11:04,11/1/2022 13:21:32,IP Address,100,627,TRUE,11/1/2022 13:21:32,R_27DKMtpy5dvYwaY,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,4- Usually,3- Often,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,3- Often,3- Often,3- Often,2- Sometimes,3- Often,Mild stress,Mild stress,Severe stress,Moderate stress,Severe stress,None,None,E- describes me very well,E- describes me very well,B,A- does not describe me well,D,B,A- does not describe me well,D,D,E- describes me very well,E- describes me very well,A- does not describe me well,B,A- does not describe me well,C,E- describes me very well,D,A- does not describe me well,D,D,D,E- describes me very well,E- describes me very well,A- does not describe me well,D,E- describes me very well,A- does not describe me well,D,"Yes, 1-2 times per week",No,"Yes, 3+ times per week","Yes, 3+ times per week","Yes, 3+ times per week",,,"cooking/baking, reading, tv",Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,No,59,86,23,26,21,12
Participant 162,11/1/2022 13:14:10,11/1/2022 13:24:55,IP Address,100,644,TRUE,11/1/2022 13:24:55,R_1diVZgracFoBmWj,anonymous,EN,1,"I consent, begin the study",3- Often,1- Almost never,2- Sometimes,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,2- Sometimes,4- Usually,3- Often,Mild stress,Mild stress,None,Mild stress,Mild Stress,None,Mild stress,D,E- describes me very well,B,A- does not describe me well,E- describes me very well,C,A- does not describe me well,E- describes me very well,E- describes me very well,C,D,B,B,B,C,B,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,C,B,B,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,"Reading, cooking, baking, playing an instrument",,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",38,79,21,27,20,13
Participant 163,11/1/2022 13:45:20,11/1/2022 13:54:33,IP Address,100,553,TRUE,11/1/2022 13:54:33,R_2w1gH8L3YcsceYr,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,Moderate stress,Moderate stress,Mild stress,None,Mild Stress,None,None,D,D,B,C,C,D,B,C,D,D,D,B,B,C,C,C,D,B,C,C,D,C,C,B,C,D,B,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,No,,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, less than 10 hours a week",53,69,18,17,18,16
Participant 164,11/1/2022 13:45:44,11/1/2022 13:57:51,IP Address,100,726,TRUE,11/1/2022 13:57:51,R_1luUuGh5XrsxUf9,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,3- Often,2- Sometimes,1- Almost never,4- Usually,1- Almost never,4- Usually,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Severe stress,Severe stress,Mild stress,Mild stress,Severe stress,None,Moderate stress,A- does not describe me well,D,A- does not describe me well,E- describes me very well,E- describes me very well,E- describes me very well,B,D,E- describes me very well,E- describes me very well,E- describes me very well,A- does not describe me well,E- describes me very well,A- does not describe me well,A- does not describe me well,B,E- describes me very well,A- does not describe me well,A- does not describe me well,D,E- describes me very well,E- describes me very well,B,B,E- describes me very well,D,C,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,training at the gym,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Bisexual,Single (never married),No,Yes,Yes,"Yes, 10-20 hours a week",72,83,18,22,26,19
Participant 165,11/1/2022 17:13:03,11/1/2022 17:27:25,IP Address,100,861,TRUE,11/1/2022 17:27:25,R_26heXe6eHvGVy8k,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,3- Often,4- Usually,3- Often,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,Mild stress,Moderate stress,Mild stress,None,Moderate stress,None,None,D,D,A- does not describe me well,B,E- describes me very well,C,A- does not describe me well,E- describes me very well,E- describes me very well,B,E- describes me very well,A- does not describe me well,B,B,B,E- describes me very well,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,E- describes me very well,A- does not describe me well,D,E- describes me very well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",Art/Creative writing,,,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,52,86,23,25,24,10
